Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
194	0	-6716.357	-6749.03	32.67301	22.65016	4.851804
195	1	-6693.524	-6720.919	27.39534	22.13537	5.090355
196	0	-6695.25	-6726.862	31.61235	22.36507	4.899627
197	1	-6709.566	-6738.919	29.35375	22.20413	5.001556
198	0	-6689.196	-6723.318	34.12113	20.62432	4.76445
199	1	-6704.935	-6732.647	27.71248	20.26255	5.070677
200	0	-6708.976	-6741.238	32.26115	21.51949	4.867478
201	1	-6691.033	-6722.976	31.94336	24.00559	4.870543
202	0	-6699.869	-6734.107	34.23761	23.78351	4.777266
203	1	-6693.863	-6724.9	31.03751	20.88343	4.91807
204	0	-6704.147	-6734.509	30.36245	21.97941	4.956547
205	1	-6679.636	-6710.84	31.20351	25.17825	4.87782
206	0	-6694.261	-6726.688	32.42738	21.3575	4.858152
207	1	-6688.322	-6724.606	36.2837	22.86697	4.693084
208	0	-6698.413	-6729.92	31.50734	20.90707	4.895925
209	1	-6685.724	-6718.453	32.72852	24.62968	4.827934
210	0	-6695.582	-6731.486	35.90392	27.06881	4.651768
211	1	-6692.382	-6731.086	38.70472	23.56699	4.589594
212	0	-6698.841	-6736.627	37.78546	23.39239	4.628719
213	1	-6711.173	-6736.962	25.78891	18.20072	5.107181
214	0	-6683.536	-6719.187	35.65052	24.10195	4.715241
215	1	-6704.112	-6731.317	27.20458	22.02756	5.099861
216	0	-6696.358	-6725.674	29.3154	21.74158	5.004568
217	1	-6700.624	-6728.865	28.24082	23.16112	5.040558
218	0	-6705.341	-6730.468	25.12719	23.23923	5.173296
219	1	-6695.066	-6724.364	29.29767	23.72162	4.986087
220	0	-6699.034	-6729.286	30.25284	19.72929	4.931623
221	1	-6693.803	-6725.492	31.68853	25.20823	4.857875
222	0	-6686.04	-6728.666	42.62631	24.29136	4.426158
223	1	-6701.758	-6730.03	28.27195	25.1265	4.995697
224	0	-6683.978	-6721.281	37.30298	24.69758	4.641488
