Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
1650	-6718.45	-6748.805	30.35509	19.23746	4.909216
1660	-6685.402	-6724.303	38.90101	26.08309	4.559512
1670	-6674.536	-6714.556	40.01959	25.02151	4.529086
1680	-6695.62	-6729.788	34.16774	25.48925	4.753994
1690	-6696.903	-6733.502	36.59928	22.45303	4.677299
1700	-6701.99	-6727.833	25.84226	22.27637	5.158798
1710	-6711.049	-6744.218	33.16895	21.1224	4.820127
1720	-6705.007	-6732.604	27.59703	22.39336	5.078872
1730	-6712.005	-6739.798	27.79274	26.18876	4.981914
1740	-6689.603	-6722.979	33.37596	26.00645	4.773201
1750	-6689.078	-6723.399	34.32058	19.47488	4.714481
1760	-6703.22	-6731.758	28.53799	24.77038	4.994536
1770	-6696.035	-6735.853	39.8183	24.54881	4.540555
1780	-6698.942	-6729.873	30.93071	22.03414	4.930703
1790	-6707.108	-6729.877	22.76881	24.18709	5.247
1800	-6704.923	-6736.748	31.82545	21.0188	4.882356
1810	-6701.132	-6732.702	31.57057	19.81266	4.86757
1820	-6683.591	-6721.312	37.72156	20.28376	4.577541
1830	-6702.164	-6729.015	26.85143	27.31827	4.976781
1840	-6699.577	-6730.875	31.29839	21.37668	4.911173
1850	-6704.983	-6731.176	26.19259	17.80091	5.062705
1860	-6690.588	-6720.945	30.3572	26.76832	4.86632
1870	-6694.234	-6721.466	27.23243	18.33328	5.034798
1880	-6691.632	-6722.577	30.94563	24.51546	4.902659
1890	-6691.106	-6725.858	34.75118	24.15605	4.751951
1900	-6698.685	-6730.393	31.70806	21.70563	4.89434
1910	-6699.967	-6733.489	33.52181	19.65904	4.763173
1920	-6705.38	-6734.901	29.52088	25.05566	4.947808
1930	-6685.996	-6717.535	31.53931	25.14938	4.865142
1940	-6708.972	-6741.656	32.68363	22.36977	4.851728
1950	-6710.086	-6743.131	33.0454	24.19143	4.822057
1960	-6696.803	-6735.605	38.80203	23.04276	4.58402
1970	-6687.13	-6723.201	36.07088	22.7916	4.702233
1980	-6706.537	-6737.382	30.84477	21.05942	4.92948
1990	-6697.81	-6729.64	31.82965	24.06558	4.874347
2000	-6711.123	-6739.606	28.48335	22.27324	5.040261
2010	-6713.092	-6742.054	28.96168	21.49944	5.020773
2020	-6705.742	-6736.056	30.31367	22.1498	4.958479
2030	-6700.839	-6735.567	34.72745	24.02403	4.754375
2040	-6708.732	-6741.703	32.97089	20.58166	4.819259
2050	-6701.366	-6730.181	28.8151	21.78965	5.0275
2060	-6706.442	-6740.288	33.84629	27.37708	4.719036
2070	-6703.193	-6731.793	28.5998	23.52989	5.01903
2080	-6708.306	-6729.641	21.33467	20.26957	5.385432
2090	-6708.119	-6735.232	27.11287	21.65131	5.10628
2100	-6700	-6731.163	31.16267	27.02429	4.828322
2110	-6695.862	-6730.94	35.07758	21.43588	4.735334
2120	-6702.729	-6736.563	33.83392	19.72724	4.750032
2130	-6706.162	-6737.258	31.09613	22.54057	4.922009
2140	-6715.474	-6742.603	27.12898	18.76855	5.060181
2150	-6698.262	-6728.702	30.44038	17.51484	4.801612
2160	-6711.386	-6743.034	31.64787	24.09397	4.881442
2170	-6714.594	-6746.93	32.33589	24.31738	4.849354
2180	-6705.258	-6737.427	32.16916	20.96204	4.865144
2190	-6712.281	-6739.153	26.87178	20.56837	5.115482
2200	-6711.135	-6738.828	27.69291	18.57201	5.021433
2210	-6702.551	-6736.542	33.99136	22.20384	4.792692
2220	-6724.795	-6745.106	20.31162	19.26582	5.431646
2230	-6706.552	-6735.56	29.00785	22.76198	5.012456
2240	-6715.701	-6742.861	27.16052	21.29587	5.104775
2250	-6694.29	-6732.608	38.31746	22.09937	4.596422
2260	-6708.035	-6738.858	30.8229	22.51184	4.934281
2270	-6703.119	-6733.628	30.50972	23.21592	4.94196
2280	-6685.925	-6725.977	40.05252	20.83862	4.484817
2290	-6699.463	-6728.15	28.68703	23.78246	5.010666
2300	-6691.753	-6729.436	37.6826	22.81959	4.631669
2310	-6693.51	-6734.984	41.47441	27.75307	4.433075
2320	-6701.47	-6736.988	35.51865	24.83418	4.711805
2330	-6694.121	-6726.24	32.11878	23.08234	4.873758
2340	-6698.838	-6731.898	33.05975	20.11885	4.802564
2350	-6701.299	-6731.616	30.3172	23.79722	4.941878
2360	-6704.092	-6740.674	36.58212	21.30337	4.662516
2370	-6690.142	-6726.673	36.5309	24.79129	4.671592
2380	-6689.141	-6725.602	36.4607	26.43446	4.645764
2390	-6700.371	-6729.381	29.01026	25.48119	4.956562
2400	-6706.012	-6734.059	28.04719	24.98608	5.008547
2410	-6696.84	-6732.374	35.53394	25.49717	4.70025
2420	-6711.166	-6738.133	26.96726	27.9802	4.946862
2430	-6701.433	-6733.918	32.48541	23.29262	4.856209
2440	-6705.078	-6733.188	28.1109	24.41944	5.020648
2450	-6703.632	-6734.809	31.17755	21.58283	4.918201
2460	-6707.264	-6738.279	31.01438	18.94642	4.861982
2470	-6709.206	-6736.064	26.85828	24.42415	5.07182
2480	-6704.152	-6738.191	34.03876	23.24823	4.789775
2490	-6681.82	-6718.356	36.53658	20.8741	4.654498
2500	-6685.34	-6723.073	37.73279	22.03333	4.621986
2510	-6706.635	-6733.073	26.43758	22.31617	5.131602
2520	-6683.978	-6717.089	33.11081	20.2557	4.804064
2530	-6712.95	-6738.997	26.04689	18.05378	5.085351
2540	-6696.821	-6728.282	31.46149	23.10506	4.902028
2550	-6709.907	-6737.428	27.52048	23.65584	5.06237
2560	-6704.604	-6735.839	31.23458	21.27132	4.913241
2570	-6699.763	-6734.771	35.00846	23.20174	4.74823
2580	-6711.354	-6741.654	30.2996	19.70469	4.928501
2590	-6694.927	-6726.898	31.97125	21.62659	4.881728
2600	-6697.768	-6729.751	31.98317	21.68514	4.881546
2610	-6709.636	-6737.609	27.97242	20.44728	5.060501
2620	-6704.051	-6738.582	34.53058	24.14064	4.761263
2630	-6692.06	-6730.027	37.96703	21.88815	4.609138
2640	-6698.535	-6730.245	31.71054	22.76806	4.893684
2650	-6699.604	-6731.875	32.27098	23.03763	4.867488
2660	-6691.965	-6734.279	42.31379	27.43827	4.408658
2670	-6699.158	-6732.545	33.38641	19.95972	4.781125
2680	-6713.563	-6740.212	26.64924	23.43278	5.103956
2690	-6717.99	-6745.185	27.19549	24.6434	5.052212
2700	-6712.205	-6741.543	29.33778	21.71146	5.003542
2710	-6697.212	-6734.364	37.15143	25.00003	4.643994
2720	-6689.932	-6720.023	30.09102	23.59703	4.95463
2730	-6689.433	-6720.357	30.92476	20.81112	4.922437
2740	-6702.658	-6738.623	35.96495	24.96434	4.69198
2750	-6696.077	-6728.605	32.52813	21.48541	4.854754
2760	-6698.842	-6731.083	32.24117	22.63238	4.870933
2770	-6692.261	-6730.094	37.83283	23.43619	4.626693
2780	-6707.6	-6742.316	34.71659	20.88273	4.741882
2790	-6697.93	-6736.469	38.5391	24.09387	4.595428
2800	-6724.216	-6750.944	26.72756	22.49157	5.116465
2810	-6693.655	-6724.407	30.75133	23.50272	4.927965
2820	-6726.722	-6751.404	24.68276	21.78191	5.217228
2830	-6703.762	-6729.69	25.92764	19.35195	5.142424
2840	-6708.974	-6743.9	34.92576	28.00193	4.661789
2850	-6694.358	-6726.061	31.70229	20.86864	4.886005
2860	-6693.453	-6726.35	32.89664	23.94364	4.831653
2870	-6706.188	-6735.344	29.15643	24.93864	4.965365
2880	-6707.646	-6732.574	24.92867	19.38531	5.194802
2890	-6712.915	-6749.745	36.82997	20.54177	4.630469
2900	-6703.635	-6737.2	33.56573	26.41524	4.755773
2910	-6702.592	-6726.923	24.33096	27.99264	5.040548
2920	-6698.355	-6728.727	30.37151	21.90501	4.956156
2930	-6683.287	-6720.296	37.00888	24.6918	4.653461
2940	-6702.638	-6729.473	26.83466	20.4265	5.115928
2950	-6698.753	-6727.522	28.76847	20.16654	5.016793
2960	-6700.432	-6728.204	27.77189	25.11868	5.015822
2970	-6695.004	-6725.557	30.55397	21.07486	4.94345
2980	-6701.584	-6734.05	32.46579	22.11448	4.861246
2990	-6695.987	-6727.38	31.39337	22.53819	4.908832
3000	-6689.976	-6722.56	32.5839	20.80762	4.842648
3010	-6690.451	-6727.127	36.67663	20.72362	4.643539
3020	-6699.676	-6728.27	28.59425	21.57839	5.037893
3030	-6710.395	-6739.857	29.46214	19.25007	4.956103
3040	-6698.89	-6731.948	33.05712	28.78441	4.702739
3050	-6705.856	-6742.385	36.52818	22.24886	4.678857
3060	-6699.513	-6728.927	29.41466	28.42459	4.842938
3070	-6685.304	-6726.746	41.44262	24.15592	4.474943
3080	-6695.505	-6731.562	36.05733	22.19856	4.699601
3090	-6682.036	-6727.091	45.05438	25.13968	4.327763
3100	-6713.955	-6737.202	23.24646	20.47443	5.291671
3110	-6697.386	-6726.139	28.75371	24.25936	4.997965
3120	-6695.364	-6734.775	39.4111	22.80774	4.555821
3130	-6711.626	-6741.05	29.42379	22.26835	4.998065
3140	-6699.216	-6734.882	35.66535	24.72613	4.707409
3150	-6699.131	-6735.847	36.71575	22.3266	4.671121
3160	-6696.268	-6730.684	34.41594	25.15609	4.750638
3170	-6712.215	-6742.868	30.65297	21.2199	4.940152
3180	-6701.427	-6730.514	29.08706	18.27347	4.930233
3190	-6696.132	-6732.63	36.49771	28.08903	4.603244
3200	-6706.854	-6737.274	30.4198	25.39843	4.903394
3210	-6694.967	-6736.321	41.35431	23.77798	4.478021
3220	-6689.904	-6722.611	32.70623	21.43084	4.845906
3230	-6706.493	-6731.259	24.76616	18.79585	5.186989
3240	-6706.19	-6736.288	30.09755	20.88615	4.963112
3250	-6692.387	-6721.96	29.57266	21.35417	4.9918
3260	-6693.742	-6719.995	26.25215	18.99372	5.114937
3270	-6698.872	-6727.167	28.29565	19.31055	5.018717
3280	-6704.576	-6734.177	29.60153	23.25752	4.98051
3290	-6689.446	-6721.745	32.29887	22.06796	4.868696
3300	-6698.807	-6736.093	37.28569	25.5273	4.631072
3310	-6701.777	-6733.38	31.60224	22.73533	4.898631
3320	-6690.517	-6726.217	35.69972	26.01352	4.683701
3330	-6694.536	-6720.256	25.71997	17.82644	5.090765
3340	-6704.764	-6734.282	29.5178	25.30843	4.941333
3350	-6694.972	-6725.028	30.05655	21.96855	4.970478
3360	-6702.071	-6729.561	27.49015	19.8615	5.07456
3370	-6703.093	-6740.628	37.53451	24.17884	4.636577
3380	-6709.755	-6736.82	27.06583	22.95953	5.094722
3390	-6695.868	-6727.103	31.23446	23.57174	4.906511
3400	-6709.749	-6745.597	35.8482	25.01267	4.695932
3410	-6707.185	-6740.623	33.43867	24.27027	4.804689
3420	-6716.464	-6742.682	26.21793	22.03626	5.144568
3430	-6693.33	-6731.803	38.47236	22.86044	4.597329
3440	-6706.331	-6736.815	30.48478	24.45102	4.922791
3450	-6709.419	-6740.321	30.90252	24.95003	4.895092
3460	-6708.235	-6729.176	20.94107	23.19738	5.354666
3470	-6699.177	-6735.088	35.91162	26.23481	4.670916
3480	-6702.213	-6732.425	30.21156	17.56297	4.81859
