Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
238	0	-4110.238	-4114.542	4.304806	16.10219	5.980894
239	1	-4109.521	-4115.901	6.379901	16.6462	5.879793
240	0	-4106.614	-4111.89	5.276166	19.66559	5.960252
241	1	-4106.07	-4116.89	10.8193	18.27896	5.672288
242	0	-4095.998	-4103.717	7.718671	18.20471	5.841294
243	1	-4097.428	-4108.972	11.54443	19.50069	5.642111
244	0	-4094.347	-4110.25	15.90287	20.58765	5.419682
245	1	-4096.365	-4115.335	18.97023	18.93209	5.248715
246	0	-4099.158	-4104.058	4.899842	19.4213	5.984386
247	1	-4091.544	-4118.932	27.38793	22.69199	4.877044
248	0	-4110.519	-4123.92	13.40131	21.43171	5.526933
249	1	-4087.649	-4103.654	16.00563	20.61088	5.414546
250	0	-4097.197	-4110.766	13.56905	22.44276	5.493557
251	1	-4103.845	-4115.795	11.95013	20.9133	5.60598
252	0	-4105.811	-4121.416	15.60465	19.82995	5.435768
253	1	-4095.578	-4109.312	13.73334	17.77087	5.496953
254	0	-4109.86	-4117.192	7.331967	20.50258	5.838219
255	1	-4110.36	-4116.695	6.33503	18.60069	5.917795
256	0	-4100.232	-4107.93	7.698379	18.58839	5.844478
257	1	-4106.132	-4123.297	17.16464	21.24013	5.353638
258	0	-4096.416	-4105.461	9.045256	23.85153	5.635366
259	1	-4092.792	-4105.002	12.2092	17.62439	5.577713
260	0	-4100.004	-4108.566	8.562178	20.6364	5.775073
261	1	-4100.435	-4111.206	10.77176	19.17634	5.682382
262	0	-4096.131	-4104.654	8.523086	17.48664	5.783317
263	1	-4086.465	-4105.3	18.83552	24.8306	5.194068
264	0	-4102.234	-4117.845	15.61127	19.67238	5.434747
265	1	-4106.229	-4115.663	9.433571	19.85864	5.746603
266	0	-4101.579	-4114.259	12.67972	21.46274	5.559891
267	1	-4097.204	-4111.917	14.71309	20.24375	5.479892
268	0	-4096.914	-4113.678	16.7644	20.09568	5.378385
269	1	-4094.545	-4109.145	14.59985	21.23396	5.474493
270	0	-4094.36	-4113.251	18.89031	22.62438	5.252908
271	1	-4112.54	-4121.42	8.879558	20.25909	5.767763
272	0	-4099.908	-4111.864	11.95625	18.69031	5.616765
273	1	-4127.644	-4133.157	5.5139	17.66913	5.958223
274	0	-4104.609	-4117.237	12.62779	20.38422	5.581384
275	1	-4108.179	-4116.449	8.26979	21.81831	5.753243
276	0	-4102.785	-4110.331	7.545386	18.38224	5.852032
277	1	-4098.152	-4109.967	11.81521	18.57976	5.622886
278	0	-4109.923	-4115.956	6.033706	17.02977	5.914346
279	1	-4109.696	-4122.55	12.8537	19.55288	5.575003
280	0	-4100.941	-4111.878	10.93759	18.3896	5.667607
281	1	-4104.905	-4121.391	16.4863	18.77481	5.376451
282	0	-4113.225	-4121.986	8.760742	18.95957	5.78795
283	1	-4096.258	-4108.431	12.17226	18.14019	5.595155
284	0	-4086.103	-4097.113	11.01037	19.11757	5.669842
285	1	-4095.01	-4108.695	13.68427	19.12744	5.530068
286	0	-4115.208	-4126.053	10.84472	19.75643	5.676426
287	1	-4101.923	-4124.051	22.12736	20.34142	5.114866
288	0	-4114.127	-4117.58	3.452694	18.0846	6.075946
289	1	-4096.351	-4111.102	14.75115	20.1651	5.478344
290	0	-4101.146	-4111.527	10.38108	17.71839	5.684161
291	1	-4119.191	-4126.185	6.993628	16.13521	5.815949
292	0	-4103.38	-4112.853	9.472658	16.59371	5.691137
293	1	-4131.209	-4138.777	7.567982	16.8847	5.818757
294	0	-4096.244	-4104.121	7.877407	17.92139	5.829042
295	1	-4095.188	-4114.007	18.81887	19.63484	5.271165
296	0	-4098.138	-4101.525	3.386415	17.73006	6.078993
297	1	-4100.075	-4110.3	10.22455	17.81532	5.695538
298	0	-4108.104	-4115.795	7.690955	16.06898	5.768424
299	1	-4098.605	-4108.231	9.626412	16.69165	5.687198
300	0	-4111.729	-4120.017	8.288024	20.7074	5.786569
301	1	-4097.307	-4110.391	13.08413	20.5573	5.556986
302	0	-4092.866	-4108.361	15.49507	20.21938	5.441331
303	1	-4108.041	-4118.932	10.8912	21.53015	5.641386
304	0	-4098.657	-4110.467	11.81007	22.37647	5.574095
305	1	-4106.131	-4113.741	7.609158	16.43677	5.795429
306	0	-4123.084	-4122.981	-0.102961	17.71418	6.275888
307	1	-4105.878	-4112.668	6.789938	18.37751	5.893115
308	0	-4104.226	-4115.529	11.30317	18.4067	5.648001
309	1	-4099.452	-4108.994	9.541814	21.87962	5.692916
310	0	-4094.319	-4102.735	8.41646	21.14884	5.768245
311	1	-4106.077	-4115.246	9.168649	21.97031	5.706851
312	0	-4106.597	-4112.701	6.103932	16.88213	5.905376
313	1	-4107.226	-4125.141	17.91498	22.70334	5.294243
314	0	-4108.804	-4123.471	14.66734	18.54703	5.468641
315	1	-4110.49	-4118.828	8.33804	17.37425	5.790736
316	0	-4102.443	-4118.643	16.19968	19.11332	5.39833
317	1	-4102.731	-4118.313	15.5824	20.34106	5.436623
318	0	-4081	-4097.872	16.87157	24.19775	5.295741
319	1	-4091.459	-4101.851	10.39198	20.88504	5.681126
320	0	-4099.806	-4113.353	13.5463	17.5299	5.497927
321	1	-4094.958	-4109.437	14.47886	20.79204	5.486617
322	0	-4096.456	-4108.979	12.52289	17.95709	5.57088
323	1	-4095.703	-4103.688	7.985495	18.23122	5.826893
324	0	-4099.009	-4108.876	9.866447	17.73422	5.713618
325	1	-4097.762	-4112.51	14.74787	19.80527	5.478946
326	0	-4117.029	-4121.832	4.802385	17.74478	5.999273
327	1	-4110.295	-4125.886	15.5911	18.75351	5.42368
328	0	-4101.4	-4125.762	24.3612	21.05006	5.013652
329	1	-4110.995	-4122.644	11.64846	22.68936	5.570748
330	0	-4095.42	-4112.784	17.36481	20.15909	5.348714
331	1	-4093.992	-4105.369	11.37672	17.68213	5.626828
332	0	-4100.903	-4115.76	14.85741	18.28276	5.451483
333	1	-4110.472	-4120.534	10.06266	18.12539	5.711188
334	0	-4099.354	-4110.31	10.95658	14.58569	5.401164
335	1	-4117.962	-4128.708	10.74591	19.74229	5.681542
336	0	-4101.27	-4112.241	10.97091	22.02269	5.623183
337	1	-4126.104	-4134.059	7.955548	17.71703	5.821027
338	0	-4102.009	-4110.527	8.518328	15.8171	5.698289
339	1	-4096.69	-4113.208	16.51802	21.6201	5.378615
340	0	-4098.858	-4104.329	5.470699	22.84229	5.835797
341	1	-4102.651	-4112.322	9.67122	20.06116	5.731878
342	0	-4090.563	-4108.571	18.00815	19.89635	5.315144
343	1	-4114.373	-4117.841	3.468359	17.94534	6.075099
344	0	-4098.515	-4116.852	18.33658	20.98213	5.300254
345	1	-4100.132	-4115.449	15.31677	19.60798	5.449377
346	0	-4102.116	-4117.464	15.34775	19.32503	5.445496
347	1	-4087.369	-4102.526	15.15703	21.96075	5.434497
348	0	-4092.379	-4109.179	16.80021	17.25255	5.296467
349	1	-4082.732	-4103.331	20.59933	18.86651	5.160523
350	0	-4097.767	-4114.8	17.03287	16.77379	5.24989
351	1	-4101.438	-4108.161	6.722235	17.54625	5.887541
352	0	-4098.534	-4115.42	16.88591	22.05745	5.353923
353	1	-4100.944	-4115.338	14.39433	17.76152	5.459389
354	0	-4103.121	-4111.518	8.397025	14.73995	5.596846
355	1	-4097.203	-4109.117	11.91373	21.95756	5.582276
356	0	-4096.251	-4107.405	11.15432	21.0077	5.641998
357	1	-4092.639	-4109.37	16.73102	21.21224	5.374382
358	0	-4101.868	-4111.442	9.573878	20.16562	5.73508
359	1	-4094.82	-4104.563	9.742583	16.47713	5.668085
360	0	-4096.582	-4107.558	10.97565	19.22796	5.671785
361	1	-4096.606	-4109.455	12.84944	19.53918	5.575217
362	0	-4110.112	-4123.298	13.18596	18.63234	5.550024
363	1	-4105.948	-4118.642	12.69473	23.14548	5.508994
364	0	-4098.251	-4112.176	13.92481	20.16421	5.519328
365	1	-4114.372	-4125.943	11.5717	18.812	5.638562
366	0	-4090.79	-4108.841	18.05099	19.76191	5.311728
367	1	-4103.587	-4119.41	15.82302	21.59096	5.411275
368	0	-4094.585	-4112.581	17.9962	23.03047	5.282869
369	1	-4108.332	-4118.53	10.19842	18.22787	5.705458
370	0	-4077.742	-4094.888	17.14568	18.22557	5.324239
371	1	-4110.762	-4119.561	8.799105	17.40492	5.765139
372	0	-4099.118	-4115.729	16.61128	19.90535	5.385394
