Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
2910	-4087.449	-4101.653	14.20486	18.80787	5.498522
2920	-4084.486	-4100.287	15.80119	18.32583	5.401209
2930	-4107.614	-4110.445	2.831455	20.85564	6.044301
2940	-4098.208	-4109.862	11.65335	21.7827	5.599169
2950	-4098.996	-4107.663	8.667152	18.68572	5.79273
2960	-4106.596	-4119.421	12.82493	19.51974	5.576462
2970	-4091.385	-4110.122	18.73712	20.93963	5.281348
2980	-4102.389	-4118.149	15.76046	25.57099	5.287983
2990	-4111.225	-4117.624	6.399301	18.28411	5.914115
3000	-4099.033	-4115.015	15.98207	18.61181	5.39944
3010	-4097.916	-4115.97	18.05376	19.6797	5.310675
3020	-4103.85	-4118.687	14.83678	17.69886	5.431862
3030	-4103.387	-4112.473	9.086051	19.04335	5.770687
3040	-4095.974	-4109.397	13.42306	19.83546	5.54577
3050	-4094.271	-4109.925	15.65446	20.65761	5.431232
3060	-4095.456	-4108.668	13.21202	17.38336	5.510622
3070	-4100.23	-4118.374	18.14422	21.8589	5.300061
3080	-4099.573	-4115.03	15.45776	17.58452	5.391519
3090	-4113.257	-4122.728	9.470673	17.84355	5.738486
3100	-4103.541	-4116.327	12.78592	19.09458	5.576801
3110	-4107.917	-4116.906	8.988975	20.52893	5.756822
3120	-4087.287	-4099.522	12.23534	20.37854	5.600708
3130	-4108.963	-4125.355	16.39216	18.60727	5.377285
3140	-4118.015	-4130.642	12.62683	20.87098	5.574363
3150	-4097.448	-4116.629	19.18112	19.21766	5.244806
3160	-4113.926	-4119.67	5.74388	19.58595	5.938008
3170	-4112.191	-4128.075	15.88405	18.30521	5.396042
3180	-4104.277	-4118.942	14.66491	19.81834	5.483148
3190	-4104.386	-4119.898	15.5122	18.4078	5.419363
3200	-4085.838	-4109.631	23.79383	20.046	5.027592
3210	-4103.552	-4113.282	9.729996	18.99394	5.73686
3220	-4094.34	-4112.061	17.72052	21.02209	5.329332
3230	-4100.901	-4109.554	8.652425	15.69726	5.680027
3240	-4107.803	-4118.219	10.41591	20.10889	5.694119
3250	-4102.218	-4112.457	10.23936	17.05086	5.668332
3260	-4107.726	-4113.799	6.073183	19.60178	5.920909
3270	-4129.821	-4133.871	4.049805	20.54488	5.996878
3280	-4120.29	-4131.59	11.30006	22.23003	5.601698
3290	-4113.671	-4126.181	12.51027	23.69044	5.496459
3300	-4101.812	-4113.567	11.75563	17.75924	5.60788
3310	-4101.393	-4109.643	8.249461	18.69464	5.815098
3320	-4110.414	-4120.735	10.32151	16.80223	5.651491
3330	-4102.516	-4114.828	12.31185	19.20551	5.602201
3340	-4095.756	-4107.948	12.19199	21.42461	5.583529
3350	-4108.45	-4118.848	10.39799	17.80923	5.685645
3360	-4107.243	-4117.309	10.06566	21.9572	5.666453
3370	-4105.946	-4117.934	11.98711	17.61332	5.589922
3380	-4102.802	-4114.181	11.37962	18.67128	5.647411
3390	-4109.186	-4124.431	15.24476	20.53876	5.452021
3400	-4088.73	-4103.069	14.33944	20.91299	5.491736
3410	-4095.062	-4113.002	17.93936	18.87268	5.301671
3420	-4114.488	-4136.738	22.25031	20.80319	5.112911
3430	-4100.665	-4115.562	14.89714	23.65814	5.396829
3440	-4089.232	-4106.755	17.52243	22.88131	5.307227
3450	-4110.885	-4114.794	3.909069	17.54754	6.047883
3460	-4094.709	-4111.267	16.55799	20.13831	5.388717
3470	-4097.802	-4110.669	12.86717	19.51637	5.574295
3480	-4114.03	-4119.907	5.877217	15.36208	5.830207
3490	-4097.845	-4113.703	15.8581	19.8204	5.42295
3500	-4097.901	-4108.087	10.18639	15.98918	5.606957
3510	-4093.56	-4101.691	8.130692	18.93902	5.821244
3520	-4112.015	-4125.875	13.85942	19.92455	5.523593
3530	-4106.996	-4116.904	9.907997	19.58968	5.725371
3540	-4118.532	-4134.055	15.52331	19.5307	5.438307
3550	-4110.334	-4113.656	3.321763	17.1972	6.076801
3560	-4107.986	-4116.868	8.881547	18.93274	5.781602
3570	-4108.953	-4123.682	14.72951	20.78233	5.474673
3580	-4114.148	-4124.523	10.3753	21.79637	5.657421
3590	-4090.242	-4103.735	13.49357	17.60632	5.504109
3600	-4098.125	-4112.235	14.11051	19.7487	5.51112
3610	-4109.114	-4121.261	12.14678	19.53521	5.611184
3620	-4097.675	-4110.031	12.35656	20.23249	5.596418
3630	-4084.29	-4105.503	21.21322	23.09514	5.141941
3640	-4098.375	-4118.366	19.99163	22.85166	5.199908
3650	-4101.879	-4110.684	8.804797	24.00428	5.638302
3660	-4097.896	-4110.425	12.52872	18.72387	5.586591
3670	-4096.998	-4104.177	7.179034	18.43911	5.872165
3680	-4089.351	-4104.688	15.33779	20.76417	5.445584
3690	-4110.704	-4110.295	-0.4096481	17.80898	6.292503
3700	-4104.643	-4109.717	5.074273	20.27682	5.955086
3710	-4108.707	-4112.805	4.098378	17.40527	6.035225
3720	-4100.852	-4111.978	11.12662	18.7269	5.661502
3730	-4109.374	-4116.586	7.212061	15.69257	5.771419
3740	-4097.785	-4101.642	3.856413	15.92878	5.99952
