Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
97	1	-6641.576	-6676.156	34.58065	1.655547	22.21076	0.248382	0.612554	1.05839	2.08068	4.035803
98	0	-6653.689	-6684.455	30.76589	1.761568	32.51925	0.263051	0.627002	1.06269	2.04725	4.135187
99	1	-6634.87	-6673.447	38.57624	1.97188	28.03756	0.289895	0.65199	1.06927	1.98885	3.951938
100	0	-6645.825	-6681.277	35.45204	1.374876	21.8398	0.20533	0.566312	1.04214	2.18622	3.980705
101	1	-6638.47	-6675.904	37.43335	1.929571	26.1288	0.28472	0.647309	1.06812	1.99985	3.994063
102	0	-6651.757	-6674.811	23.05478	1.889937	22.44173	0.279773	0.642775	1.06697	2.01048	4.557891
103	1	-6632.238	-6667.071	34.83277	1.849582	24.07494	0.274633	0.638002	1.06573	2.02164	4.075628
104	0	-6644.332	-6677.101	32.76852	2.466933	24.95603	0.343299	0.696968	1.07824	1.88149	4.170142
105	1	-6643.964	-6685.075	41.11011	1.804416	30.70325	0.268755	0.632462	1.06423	2.03456	3.843201
106	0	-6645.9	-6674.006	28.10603	2.000665	23.05296	0.293354	0.655084	1.07001	1.98156	4.344344
107	1	-6659.101	-6685.7	26.59876	1.762833	21.52921	0.263221	0.627166	1.06274	2.04687	4.377061
108	0	-6627.478	-6664.72	37.24165	1.610729	24.99825	0.241932	0.606007	1.05631	2.09575	3.991464
109	1	-6644.161	-6672.61	28.44889	2.032156	26.56966	0.297083	0.65839	1.07077	1.97375	4.33378
110	0	-6651.701	-6693.242	41.54063	3.19142	28.0359	0.403549	0.741604	1.08331	1.77154	3.84621
111	1	-6639.158	-6675.027	35.86867	1.658368	33.12949	0.248783	0.612957	1.05851	2.07975	3.964721
112	0	-6646.134	-6693.348	47.21452	1.485986	31.43459	0.223149	0.586207	1.04959	2.14106	3.639562
113	1	-6652.127	-6688.017	35.88941	1.74014	24.48016	0.260151	0.624192	1.06188	2.05377	4.038738
114	0	-6662.539	-6705.455	42.91554	1.543219	25.66556	0.231922	0.595596	1.05286	2.11962	3.777403
115	1	-6651.311	-6693.081	41.7704	2.056674	26.4878	0.299947	0.660908	1.07135	1.9678	3.831697
116	0	-6634.625	-6683.282	48.6573	1.233244	32.59943	0.181026	0.53716	1.02999	2.25183	3.584234
117	1	-6646.902	-6677.78	30.8779	2.506291	22.87703	0.347052	0.699922	1.0787	1.87433	4.220287
118	0	-6644.338	-6683.564	39.22523	1.906906	23.37894	0.281903	0.644735	1.06748	2.00589	3.873241
119	1	-6651.288	-6690.909	39.62077	2.191794	24.65453	0.315142	0.673973	1.07412	1.93676	3.889944
120	0	-6685.711	-6701.896	16.1852	2.385925	22.5905	0.335367	0.690641	1.07721	1.89678	4.863699
121	1	-6650.211	-6684.427	34.21623	1.879962	26.14876	0.278512	0.64161	1.06667	2.0132	4.117193
122	0	-6665.198	-6690.153	24.95551	2.188165	24.22857	0.314747	0.673639	1.07406	1.93756	4.485854
123	1	-6659.176	-6685.943	26.7667	2.743398	23.6773	0.368382	0.716252	1.08092	1.83445	4.408616
124	0	-6657.66	-6686.833	29.17258	2.178763	25.57408	0.313719	0.67277	1.07388	1.93963	4.313232
125	1	-6639.472	-6673.331	33.85974	2.500756	28.54567	0.346528	0.699511	1.07864	1.87532	4.114357
126	0	-6666.409	-6696.883	30.47414	2.091561	27.38414	0.303965	0.66441	1.07212	1.9595	4.24957
127	1	-6627.705	-6669.169	41.46381	1.523198	26.15599	0.228884	0.592373	1.05176	2.12699	3.840103
128	0	-6641.197	-6683.23	42.03266	2.353853	26.47118	0.332148	0.68804	1.07676	1.90305	3.821642
129	1	-6652.065	-6682.942	30.87662	1.941675	23.4155	0.286212	0.648665	1.06846	1.99666	4.230965
130	0	-6645.099	-6686.243	41.14449	1.911042	27.81935	0.282419	0.645208	1.0676	2.00478	3.86045
131	1	-6631.206	-6670.774	39.56824	1.873872	32.03288	0.277739	0.640894	1.06649	2.01488	3.87306
132	0	-6653.783	-6688.188	34.40458	2.106872	26.49709	0.305707	0.665917	1.07245	1.95593	4.109765
133	1	-6643.809	-6672.614	28.80473	2.647236	25.88564	0.359986	0.709915	1.08012	1.84998	4.325981
134	0	-6657.95	-6687.244	29.2936	2.284421	25.06993	0.325016	0.682209	1.07571	1.91706	4.309422
