Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
810	-6631.138	-6674.403	43.26514	2.273862	27.13346	0.323912	0.681298	1.07554	1.91925	3.780969
820	-6647.339	-6687.135	39.79544	1.449684	24.8312	0.217444	0.579961	1.04732	2.15527	3.886304
830	-6624.091	-6675.613	51.5211	1.063323	30.60466	0.149413	0.494991	1.00975	2.34585	3.504174
840	-6645.351	-6683.602	38.25114	1.833398	30.38288	0.272542	0.636041	1.0652	2.02621	3.94092
850	-6672.959	-6693.94	20.98075	3.093187	20.94841	0.396345	0.73656	1.08294	1.78416	4.624624
860	-6668.417	-6689.59	21.17303	2.085578	23.78815	0.303281	0.663816	1.07199	1.96091	4.644472
870	-6644.957	-6674.303	29.34539	1.632555	23.8347	0.245092	0.60923	1.05734	2.08834	4.301403
880	-6640.841	-6677.391	36.54997	1.750372	26.22535	0.26154	0.62554	1.06227	2.05064	4.028199
890	-6625.788	-6676.177	50.3884	1.802126	26.37695	0.268453	0.632175	1.06415	2.03523	3.50395
900	-6645.658	-6682.086	36.42803	1.81216	26.01189	0.269772	0.633427	1.06449	2.03231	4.03208
910	-6632.62	-6676.824	44.20432	2.097373	29.45621	0.304627	0.664984	1.07225	1.95814	3.750263
920	-6650.477	-6685.144	34.66717	1.476724	24.71981	0.221704	0.584636	1.04903	2.14463	4.091621
930	-6630.403	-6672.538	42.13526	2.117388	26.15888	0.306896	0.666943	1.07267	1.95349	3.814466
940	-6635.694	-6680.691	44.99687	1.302949	25.33296	0.193216	0.552094	1.0364	2.21829	3.689282
950	-6647.44	-6682.105	34.66574	1.422348	28.48732	0.213074	0.575099	1.04552	2.16631	4.086785
960	-6637.804	-6672.25	34.44545	2.167126	26.28528	0.31244	0.671685	1.07366	1.94222	4.108436
970	-6657.75	-6683.959	26.20989	1.870656	26.99616	0.27733	0.640515	1.06639	2.01577	4.411747
980	-6648.577	-6676.295	27.71772	1.846403	24.11014	0.274224	0.637619	1.06562	2.02253	4.371339
990	-6655.008	-6682.748	27.74008	2.284574	27.30354	0.325032	0.682222	1.07572	1.91703	4.350642
1000	-6656.957	-6692.023	35.06637	2.127177	24.78452	0.307997	0.66789	1.07287	1.95124	4.076229
