Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
85	1	-4049.212	-4065.116	15.90377	1.077888	23.18401	0.152228	0.498973	1.0118	2.337	5.075745
86	0	-4116.381	-4120.835	4.453594	52561.08	19.40218	0.994461	0.998578	1.00141	1.00555	5.657092
87	1	-4040.493	-4052.634	12.14095	1.045753	21.51586	0.145992	0.490085	1.00719	2.35674	5.26749
88	0	-4107.566	-4109.167	1.601046	33543.45	18.58062	0.993068	0.998219	1.00176	1.00695	5.806463
89	1	-4027.439	-4048.763	21.32344	1.089934	22.14389	0.154541	0.502209	1.01344	2.32981	4.844571
90	0	-4102.059	-4118.765	16.70601	79343.11	19.6375	0.995491	0.998844	1.00115	1.00452	5.032347
91	1	-4049.32	-4058.655	9.335539	0.8632009	24.68595	0.108919	0.431387	0.973038	2.48666	5.308167
92	0	-4129.362	-4124.274	-5.087312	25986.04	18.05299	0.992126	0.997975	1.002	1.0079	6.172179
93	1	-4032.36	-4050.78	18.41928	0.6466142	23.30352	0.0628429	0.337213	0.903357	2.69659	4.965675
94	0	-4108.843	-4114.62	5.776503	23460.72	20.4801	0.991714	0.997868	1.00211	1.00831	5.582548
95	1	-4021.437	-4053.066	31.62891	0.6466142	22.45374	0.0628429	0.337213	0.903357	2.69659	4.385924
96	0	-4100.557	-4106.551	5.993694	57353.48	19.0765	0.994697	0.998639	1.00135	1.00531	5.576079
97	1	-4021.908	-4048.778	26.8701	1.095987	22.2071	0.155698	0.503817	1.01425	2.32624	4.594947
98	0	-4099.447	-4109.279	9.831657	81931.56	21.63362	0.995563	0.998862	1.00113	1.00444	5.372985
99	1	-4043.19	-4058.899	15.7091	1.08889	24.15232	0.154341	0.501931	1.0133	2.33043	5.06373
100	0	-4099.302	-4105.282	5.979134	76691.08	17.83143	0.995414	0.998824	1.00117	1.00459	5.552485
101	1	-4041.561	-4045.737	4.175371	1.334189	24.15119	0.198535	0.55841	1.03899	2.20406	5.541321
102	0	-4101.421	-4107.825	6.403976	19140.13	20.90103	0.990827	0.997638	1.00233	1.0092	5.546064
103	1	-4049.835	-4052.208	2.372688	1.334189	19.40704	0.198535	0.55841	1.03899	2.20406	5.764308
104	0	-4113.374	-4120.51	7.135819	54056.41	20.12186	0.994538	0.998598	1.00139	1.00547	5.518842
105	1	-4026.751	-4048.533	21.78249	1.255468	22.91273	0.184961	0.542054	1.03213	2.24085	4.823591
106	0	-4114.078	-4112.882	-1.196469	34637.42	18.6776	0.993178	0.998247	1.00174	1.00684	5.956551
107	1	-4040.416	-4055.128	14.71236	1.348077	21.60534	0.200871	0.561147	1.0401	2.19788	5.147535
108	0	-4126.51	-4124.369	-2.140541	6200.312	17.74902	0.983904	0.995831	1.00408	1.01619	6.007175
109	1	-4023.385	-4042.247	18.86247	0.7466624	23.13352	0.0841704	0.38474	0.941005	2.59009	4.948714
110	0	-4106.903	-4109.76	2.857825	38788.96	20.28003	0.993553	0.998344	1.00164	1.00646	5.728814
111	1	-4039.52	-4054.037	14.51686	1.121651	20.3829	0.160568	0.510494	1.01756	2.31138	5.154941
112	0	-4100.523	-4109.773	9.249686	28731.61	20.01759	0.992511	0.998075	1.00191	1.00751	5.413703
113	1	-4035.657	-4049.599	13.94219	1.284328	20.68713	0.190003	0.548222	1.03477	2.227	5.184896
114	0	-4106.641	-4111.937	5.296287	87754.02	20.14441	0.995712	0.998901	1.00109	1.00429	5.610041
