Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
1180	-4029.74	-4051.69	21.95046	0.9787116	21.29646	0.132687	0.470258	0.996381	2.40067	4.808817
1190	-4045.875	-4057.668	11.79384	1.328773	23.55117	0.197619	0.557331	1.03856	2.20649	5.243398
1200	-4039.22	-4060.597	21.37745	0.627206	20.30816	0.0587634	0.327061	0.894588	2.71959	4.816384
1210	-4009.436	-4051.076	41.64009	0.6329899	22.53536	0.0599757	0.330121	0.897259	2.71264	3.943266
1220	-4019.563	-4049.035	29.47223	0.7575786	26.60779	0.0865057	0.389477	0.94447	2.57955	4.471911
1230	-4038.224	-4059.117	20.89325	1.022927	19.86026	0.141506	0.483536	1.0037	2.37126	4.827004
1240	-4031.22	-4056.01	24.78987	1.203403	21.06797	0.175669	0.530381	1.02695	2.267	4.670508
1250	-4024.37	-4053.126	28.75588	0.863992	21.22345	0.109085	0.431676	0.973223	2.48602	4.487107
1260	-4037.298	-4058.474	21.17647	0.8607047	23.17453	0.108395	0.430473	0.972453	2.48868	4.848388
1270	-4019.717	-4053.174	33.45647	1.016729	25.97324	0.14028	0.481723	1.00272	2.37528	4.32764
1280	-4035.578	-4053.229	17.65116	0.90735	25.44879	0.118117	0.447016	0.982775	2.45209	4.951433
1290	-4070.576	-4078.9	8.32333	1.322617	17.91834	0.196575	0.556097	1.03805	2.20928	5.42442
1300	-4037.429	-4054.16	16.73128	1.550886	20.65314	0.233077	0.596813	1.05328	2.11683	5.049716
1310	-4036.52	-4056.355	19.83514	0.9496678	19.51009	0.126805	0.461082	0.991132	2.42098	4.868431
1320	-4039.536	-4058.454	18.91794	0.8966905	25.30618	0.115908	0.443335	0.980525	2.46023	4.905312
1330	-4056.344	-4062.6	6.256088	1.342485	19.51739	0.199932	0.56005	1.03966	2.20036	5.564443
1340	-4043.066	-4051.779	8.713657	2.216587	25.88295	0.317827	0.676231	1.07457	1.93137	5.284181
1350	-4053.908	-4050.878	-3.029036	1.093644	21.79501	0.155251	0.503196	1.01394	2.32762	5.960327
1360	-4049.616	-4059.154	9.53819	1.277867	17.35386	0.188881	0.546859	1.0342	2.23006	5.328932
1370	-4054.886	-4056.332	1.446404	0.8513626	21.16602	0.106432	0.427019	0.97023	2.49632	5.775609
1380	-4039.279	-4055.523	16.244	0.8997701	19.83508	0.116547	0.444404	0.981181	2.45787	5.060553
1390	-4025.347	-4046.947	21.59987	1.026282	27.05818	0.142168	0.484512	1.00422	2.3691	4.755187
1400	-4029.959	-4049.629	19.66973	0.8159539	19.10928	0.0989488	0.413479	0.961279	2.52629	4.860648
1410	-4026.12	-4049.667	23.54641	0.8334598	19.69139	0.102656	0.420264	0.965812	2.51127	4.686374
1420	-4038.424	-4054.967	16.54263	1.045887	28.11263	0.146018	0.490123	1.00721	2.35665	4.902885
1430	-4058.264	-4062.072	3.808707	1.21217	24.8056	0.177251	0.532398	1.02786	2.26249	5.52643
1440	-4051.601	-4056.693	5.091681	1.389684	20.19632	0.207767	0.569101	1.04323	2.1799	5.619638
1450	-4051.29	-4054.042	2.752163	1.373335	17.49593	0.205076	0.566019	1.04203	2.18688	5.724558
1460	-4055.782	-4061.883	6.101131	1.05733	17.60675	0.148249	0.49333	1.00889	2.34954	5.537582
1470	-4037.454	-4050.951	13.49725	1.161762	22.09973	0.168055	0.520503	1.02237	2.28907	5.198574
1480	-4048.524	-4065.472	16.94805	0.9534292	19.47518	0.127571	0.462292	0.991833	2.4183	5.015369
1490	-4055.382	-4063.113	7.73052	1.655089	23.62849	0.248317	0.612488	1.05837	2.08083	5.413227
1500	-4045.937	-4062.322	16.3855	1.334469	21.23564	0.198582	0.558466	1.03902	2.20394	5.070001
1510	-4055.269	-4066.214	10.94441	1.018909	21.53836	0.140711	0.482363	1.00306	2.37386	5.322816
1520	-4031.408	-4055.688	24.28054	0.9814421	21.34787	0.133236	0.471102	0.996856	2.39881	4.700369
1530	-4023.28	-4061.363	38.08246	0.7234364	22.37332	0.0791997	0.374381	0.933253	2.61317	4.095838
1540	-4013.412	-4051.609	38.19756	0.7511518	24.77524	0.085131	0.386698	0.942443	2.58573	4.139829
1550	-4020.685	-4055.466	34.7811	0.755487	21.73808	0.0860584	0.388576	0.943814	2.58155	4.223514
1560	-4039.333	-4059.303	19.97086	0.9434971	22.36413	0.125547	0.459084	0.989968	2.4254	4.905378
1570	-4045.416	-4067.944	22.52834	1.16229	22.38731	0.168153	0.520632	1.02243	2.28878	4.791083
1580	-4039.847	-4053.747	13.8991	1.184381	19.34727	0.172211	0.525931	1.02491	2.27695	5.168954
1590	-4041.013	-4063.978	22.96485	0.9167954	26.05591	0.120068	0.45023	0.984718	2.44498	4.729714
1600	-4014.489	-4049.281	34.79134	0.6266691	25.76243	0.058651	0.326775	0.894338	2.72024	4.277129
1610	-4017.385	-4045.02	27.63513	1.031057	20.83374	0.143109	0.485892	1.00496	2.36604	4.528057
1620	-4023.627	-4048.445	24.81727	0.91037	24.51754	0.118742	0.448048	0.983401	2.44981	4.682996
1630	-4015.232	-4040.079	24.84652	0.7891448	21.47719	0.0932468	0.402727	0.953901	2.55013	4.676285
1640	-4014.3	-4045.629	31.32892	0.749544	24.48726	0.084787	0.385998	0.94193	2.58728	4.417412
1650	-4011.524	-4046.922	35.39808	0.9785053	23.52539	0.132645	0.470194	0.996345	2.40082	4.24075
1660	-4030.083	-4055.918	25.83574	0.7146597	23.2451	0.0773219	0.370366	0.930182	2.62213	4.647401
1670	-4037.136	-4052.131	14.99525	0.9708414	17.23283	0.1311	0.467809	0.994995	2.4061	5.005204
1680	-4032.506	-4058.764	26.25839	0.9936314	21.28299	0.135681	0.474829	0.998937	2.39055	4.606215
1690	-4030.088	-4046.467	16.37855	0.9927071	17.56647	0.135496	0.474549	0.998781	2.39117	4.950946
1700	-4062.865	-4078.084	15.21904	0.960875	22.23626	0.129083	0.464667	0.993202	2.41305	5.119294
1710	-4071.814	-4065.768	-6.045466	1.249627	22.93326	0.183931	0.54078	1.03158	2.24371	6.036939
1720	-4045.823	-4052.243	6.419342	1.389127	16.27937	0.207676	0.568997	1.04319	2.18014	5.441779
1730	-4046.037	-4060.817	14.77933	1.491828	21.78155	0.224057	0.587191	1.04994	2.13881	5.14334
1740	-4036.878	-4055.802	18.92347	0.978865	26.02428	0.132718	0.470306	0.996408	2.40057	4.885724
1750	-4051.207	-4061.222	10.01491	1.000764	18.0497	0.137106	0.476981	1.00013	2.38579	5.335498
1760	-4054.697	-4062.203	7.506273	1.476	17.24511	0.221591	0.584512	1.04898	2.14492	5.440432
1770	-4045.943	-4060.002	14.05934	0.9523238	22.69417	0.127346	0.461937	0.991628	2.41909	5.164561
1780	-4012.612	-4048.411	35.79888	0.9665611	25.8624	0.130235	0.466465	0.994231	2.40907	4.237787
1790	-4038.628	-4055.114	16.48584	1.253935	22.04031	0.184691	0.54172	1.03199	2.2416	5.063729
1800	-4023.531	-4044.359	20.82818	0.8442336	19.7185	0.10493	0.424351	0.968496	2.50222	4.825392
1810	-4027.898	-4049.178	21.27964	0.9199091	21.18056	0.120709	0.45128	0.985349	2.44266	4.838782
1820	-4038.765	-4051.645	12.87928	1.646855	25.178	0.247143	0.611306	1.058	2.08356	5.148352
1830	-4041.132	-4046.872	5.740154	1.811504	20.82094	0.269686	0.633346	1.06447	2.0325	5.579213
1840	-4056.568	-4057.221	0.6527922	1.110112	18.63297	0.158386	0.507519	1.01609	2.318	5.857542
1850	-4061.258	-4065.737	4.479358	1.373518	20.52896	0.205106	0.566054	1.04204	2.1868	5.645088
1860	-4054.389	-4064.389	10.00038	1.644248	19.6181	0.24677	0.610929	1.05788	2.08442	5.373637
1870	-4078.375	-4071.025	-7.350789	1.247874	18.02831	0.183622	0.540396	1.03141	2.24457	6.297879
1880	-4063.66	-4065.737	2.077893	1.118629	21.27972	0.159997	0.509719	1.01718	2.31311	5.742454
1890	-4048.478	-4052.054	3.575936	0.9618575	17.58915	0.129282	0.464979	0.993381	2.41236	5.680464
1900	-4051.928	-4063.412	11.48418	0.9560939	18.90221	0.128112	0.463145	0.992326	2.41642	5.284
1910	-4040.757	-4050.6	9.842751	0.9401049	21.2761	0.124854	0.457978	0.98932	2.42785	5.377605
1920	-4058.531	-4059.29	0.7595514	0.8609883	17.28407	0.108455	0.430577	0.97252	2.48845	5.832814
1930	-4047.522	-4055.583	8.061263	1.122688	21.86778	0.160763	0.510759	1.01769	2.31079	5.449899
