Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
83	1	-4126.177	-4117.507	-8.669921	35521.9	15.3381	0.993264	0.998269	1.00171	1.00675	6.332995
84	0	-4129.461	-4128.894	-0.5664086	76546.78	16.2684	0.995409	0.998823	1.00117	1.0046	5.870307
85	1	-4136.866	-4136.103	-0.7626087	41695.84	16.11751	0.993782	0.998403	1.00158	1.00623	5.873979
86	0	-4126.762	-4131.349	4.58699	61983.83	20.225	0.994899	0.998691	1.0013	1.00511	5.644268
87	1	-4123.789	-4127.472	3.683045	67883.59	18.50648	0.995126	0.99875	1.00124	1.00488	5.693613
88	0	-4107.834	-4114.957	7.122367	7192.595	19.39958	0.985052	0.996132	1.00379	1.01503	5.519528
89	1	-4113.579	-4117.195	3.616245	88927.65	17.08396	0.995741	0.998908	1.00109	1.00427	5.659237
90	0	-4117.148	-4124.112	6.964155	78451.23	20.96092	0.995465	0.998837	1.00116	1.00454	5.518346
91	1	-4127.69	-4135.946	8.255456	90702.46	20.63246	0.995783	0.998919	1.00107	1.00422	5.460292
92	0	-4127.957	-4129.371	1.414117	85667.42	21.34905	0.995661	0.998887	1.00111	1.00435	5.771465
93	1	-4134.768	-4131.794	-2.97389	47777.27	18.12331	0.994191	0.998509	1.00148	1.00582	6.055081
94	0	-4112.77	-4116.318	3.548281	80248.34	19.21849	0.995516	0.99885	1.00114	1.00449	5.704249
95	1	-4136.287	-4137.833	1.545859	93910.31	16.95633	0.995855	0.998938	1.00106	1.00415	5.775468
96	0	-4122.546	-4129.416	6.86956	18352.28	19.10783	0.990633	0.997588	1.00238	1.0094	5.530475
97	1	-4125.026	-4126.892	1.866076	94596.03	19.66945	0.99587	0.998941	1.00105	1.00414	5.787654
98	0	-4143.613	-4139.498	-4.115014	54452.91	15.83424	0.994558	0.998603	1.00139	1.00545	6.067819
99	1	-4125.629	-4118.401	-7.227899	75470.91	17.46792	0.995377	0.998814	1.00118	1.00463	6.29503
100	0	-4133.686	-4128.19	-5.495777	74090.78	17.79946	0.995334	0.998803	1.00119	1.00467	6.196103
101	1	-4136.354	-4128.227	-8.126598	39835	17.2461	0.993639	0.998366	1.00162	1.00638	6.346942
102	0	-4124.241	-4126.275	2.033889	34190.23	19.57445	0.993134	0.998236	1.00175	1.00688	5.780191
103	1	-4139.902	-4141.719	1.816756	27639.96	16.7895	0.992365	0.998037	1.00194	1.00766	5.752161
104	0	-4118.703	-4125.55	6.846914	55017.03	20.18868	0.994586	0.998611	1.00138	1.00542	5.532781
105	1	-4126.568	-4128.887	2.318187	31489.3	20.37213	0.992846	0.998161	1.00182	1.00717	5.753632
106	0	-4124.574	-4123.874	-0.6996041	66178.92	20.43322	0.995063	0.998734	1.00126	1.00495	5.900082
