Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
760	-4142.064	-4135.317	-6.746735	4011.18	18.08671	0.980002	0.994803	1.00505	1.02014	6.263706
770	-4142.919	-4139	-3.919052	33539.17	17.65272	0.993068	0.998219	1.00176	1.00695	6.106961
780	-4120.575	-4129.243	8.667986	42972.38	19.1039	0.993875	0.998427	1.00156	1.00614	5.436298
790	-4144.762	-4138.203	-6.558442	870.9934	20.68954	0.957264	0.988673	1.01067	1.04339	6.175774
800	-4134.261	-4132.923	-1.338082	16953.23	19.83329	0.990255	0.99749	1.00248	1.00978	5.947007
810	-4099.32	-4091.436	-7.883759	3.843298	18.76366	0.445541	0.76961	1.08439	1.70046	6.312394
820	-4120.891	-4112.356	-8.53542	3.341495	17.42557	0.414069	0.748839	1.08375	1.75334	6.370109
830	-4110.189	-4099.328	-10.8613	2.918101	19.9579	0.382825	0.72689	1.08208	1.8082	6.421255
840	-4108.384	-4104.283	-4.101095	4.617047	16.96369	0.485351	0.794165	1.0839	1.63659	6.108651
850	-4103.621	-4092.517	-11.10366	3.887193	16.11654	0.448056	0.771216	1.0844	1.69633	6.515565
860	-4111.303	-4097.219	-14.08461	2.949286	15.35156	0.3853	0.728681	1.08225	1.80377	6.686437
870	-4120.098	-4098.246	-21.85264	2.949286	14.3936	0.3853	0.728681	1.08225	1.80377	7.178599
880	-4093.981	-4082.799	-11.18232	2.671799	18.52021	0.362162	0.711569	1.08033	1.84593	6.496425
890	-4124.281	-4106.469	-17.81202	2.601213	15.02975	0.355847	0.706748	1.07969	1.85772	6.922606
900	-4115.056	-4090.764	-24.29205	2.663347	13.26159	0.361416	0.711002	1.08026	1.84732	7.294423
910	-4111.376	-4104.215	-7.160948	2.747756	16.66766	0.368755	0.716531	1.08095	1.83376	6.284923
920	-4104.988	-4095.398	-9.590079	2.741649	17.19159	0.368232	0.71614	1.0809	1.83472	6.43202
930	-4100.914	-4095.621	-5.29318	2.741649	19.45845	0.368232	0.71614	1.0809	1.83472	6.157874
940	-4101.371	-4101.811	0.4404329	2.102453	19.1773	0.305205	0.665484	1.07235	1.95696	5.866347
950	-4097.32	-4089.14	-8.1808	2.489579	17.05814	0.345466	0.698677	1.07851	1.87735	6.349665
960	-4123.643	-4113.003	-10.64004	2.703438	15.7915	0.364933	0.713663	1.0806	1.8408	6.478641
970	-4126.03	-4113.263	-12.76717	3.101435	17.7424	0.39696	0.736994	1.08297	1.78307	6.606054
980	-4135.977	-4117.838	-18.13893	2.451251	16.45896	0.341786	0.695769	1.07805	1.88439	6.947635
990	-4102.365	-4090.016	-12.34888	2.713443	14.11923	0.365802	0.714317	1.08068	1.8392	6.494844
1000	-4115.459	-4093.362	-22.09722	3.001544	13.94113	0.389381	0.731613	1.08252	1.79648	7.176729
1010	-4105.029	-4086.807	-18.22214	2.760278	16.59118	0.369822	0.717328	1.08105	1.8318	6.950184
1020	-4118.28	-4105.076	-13.20388	2.998198	16.19151	0.389122	0.731428	1.08251	1.79694	6.646571
1030	-4128.525	-4109.382	-19.14261	2.658094	16.35672	0.360951	0.710649	1.08022	1.84819	7.010627
1040	-4116.992	-4107.386	-9.606416	2.871178	22.15816	0.379044	0.724136	1.0818	1.81502	6.240475
1050	-4145.863	-4121.807	-24.05533	2.8391	13.30575	0.376418	0.722211	1.0816	1.81977	7.279992
1060	-4101.516	-4099.185	-2.330721	3.240412	17.58731	0.407046	0.744026	1.08347	1.76546	6.016254
1070	-4099.562	-4089.567	-9.994996	2.406517	21.24067	0.337411	0.692282	1.07748	1.89282	6.311993
1080	-4107.938	-4095.293	-12.64524	3.332614	16.49396	0.413462	0.748426	1.08373	1.75438	6.613948
1090	-4094.039	-4088.589	-5.449431	3.705438	15.82206	0.43741	0.764365	1.08432	1.71391	6.151487
1100	-4110.197	-4098.247	-11.95014	2.898295	17.30669	0.381238	0.725737	1.08197	1.81106	6.567849
1110	-4113.432	-4120.004	6.572154	2.997161	20.01174	0.389042	0.731371	1.0825	1.79709	5.547491
1120	-4120.72	-4108.977	-11.74362	3.3542	15.65926	0.414934	0.749428	1.08378	1.75186	6.544832
1130	-4112.028	-4100.436	-11.59232	4.988824	16.6442	0.501613	0.803692	1.08332	1.61137	6.550742
1140	-4110.994	-4101.674	-9.320598	3.838212	18.37377	0.445247	0.769422	1.08439	1.70094	6.399648
1150	-4101.912	-4089.512	-12.40014	2.794297	16.68184	0.372695	0.719463	1.08129	1.82655	6.599237
1160	-4118.226	-4101.999	-16.22624	2.263225	14.72286	0.322794	0.680372	1.07537	1.92146	6.805025
1170	-4119.716	-4105.535	-14.18088	3.5014	14.93484	0.424681	0.755986	1.08408	1.73526	6.676807
1180	-4111.697	-4098.856	-12.84122	2.377949	15.62423	0.334571	0.69	1.0771	1.89833	6.614007
1190	-4105.009	-4091.533	-13.47678	3.42416	16.57394	0.419628	0.752602	1.08394	1.74383	6.664219
1200	-4123.556	-4111.103	-12.45341	2.574963	17.24842	0.35345	0.704901	1.07943	1.86222	6.597795
1210	-4104.854	-4096.693	-8.160872	3.04165	19.02008	0.392459	0.733808	1.08271	1.79102	6.319806
1220	-4119.309	-4107.295	-12.01425	2.577504	14.22172	0.353684	0.705081	1.07946	1.86178	6.480535
